wavelength nm,irradiance W/m^2/nm
634.343,0.0061993852
634.688,0.0071367968
635.034,0.0065443916
635.379,0.0070888934
635.725,0.0059324112
636.07,0.006189666
636.415,0.0061700447
636.761,0.006469106
637.106,0.0065678162
637.451,0.0066695014
637.796,0.0061521506
638.141,0.0065399564
638.486,0.007469815
638.831,0.0049617036
639.176,0.0075096614
639.521,0.007404816
639.866,0.0073795576
640.211,0.0056770229
640.555,0.0075789049
640.9,0.0069685571
641.245,0.0058869276
641.589,0.0081018582
641.934,0.0069804192
642.278,0.0065274624
642.623,0.0053520031
642.967,0.0061772926
643.312,0.006789383
643.656,0.0075419533
644,0.006444727
644.344,0.0055971016
644.689,0.0056139222
645.033,0.0066275863
645.377,0.0067292753
645.721,0.0071369915
646.065,0.0064597414
646.409,0.0073517318
646.753,0.0063114732
647.096,0.0061974988
647.44,0.0075388682
647.784,0.007733923
648.128,0.0074840288
648.471,0.0078553712
648.815,0.0073815359
649.158,0.0070888454
649.502,0.0075511789
649.845,0.0057274588
650.189,0.0068237698
650.532,0.0060282905
650.875,0.006630167
651.218,0.0072327586
651.562,0.0071150131
651.905,0.0075924639
652.248,0.0078349662
652.591,0.0075376768
652.934,0.0067233575
653.277,0.0086252221
653.62,0.0073114212
653.963,0.0092672821
654.305,0.0087780561
654.648,0.0073596569
654.991,0.0080294469
655.334,0.0074882001
655.676,0.0075497215
656.019,0.0087909729
656.361,0.0070703972
656.704,0.0084539814
657.046,0.0072482017
657.389,0.0086803785
657.731,0.0074166117
658.073,0.0068636486
658.415,0.0076354173
658.757,0.0065513619
659.1,0.007275621
659.442,0.0086757398
659.784,0.0067749028
660.126,0.006786291
660.468,0.0069902474
660.809,0.0079618929
661.151,0.0073029447
661.493,0.0077041187
661.835,0.0079136735
662.177,0.0084164969
662.518,0.0076537303
662.86,0.0082061019
663.201,0.0071472234
663.543,0.0073578943
663.884,0.0062440332
664.226,0.007037589
664.567,0.0076389362
664.908,0.007897097
665.249,0.0064350225
665.591,0.0073263111
665.932,0.0082324583
666.273,0.0059755981
666.614,0.0078161688
666.955,0.0069849517
667.296,0.0062508204
667.637,0.0068118517
667.978,0.0092710109
668.318,0.008284962
668.659,0.0069985136
669,0.0072108315
669.341,0.006828649
669.681,0.0070386865
670.022,0.008659218
670.362,0.00781964
670.703,0.0076321111
671.043,0.0068294884
671.383,0.0080606635
671.724,0.0059366316
672.064,0.0075811883
672.404,0.0093344973
672.744,0.0084272139
673.085,0.0097713548
673.425,0.0092268869
673.765,0.0092461655
674.105,0.0082809303
674.444,0.0092738717
674.784,0.0056197045
675.124,0.0058366032
675.464,0.0085435439
675.804,0.0081936205
676.143,0.0088830762
676.483,0.0083241279
676.823,0.0087583917
677.162,0.0078247788
677.501,0.008676451
677.841,0.009270311
678.18,0.0078122654
678.52,0.0069831955
678.859,0.0081047717
679.198,0.0092863999
679.537,0.0088786902
679.876,0.0077316814
680.215,0.0085980229
680.555,0.0080793388
680.894,0.0075091266
681.232,0.0076320914
681.571,0.0089967051
681.91,0.0069731559
682.249,0.0076923014
682.588,0.0076557359
682.926,0.0090322393
683.265,0.0069900373
683.604,0.0076046354
683.942,0.0071314738
684.281,0.0080774623
684.619,0.009143073
684.957,0.0098815803
685.296,0.0089623641
685.634,0.0086560767
685.972,0.0082315848
686.31,0.0093612409
686.649,0.0063735126
686.987,0.0075016115
687.325,0.0096906118
687.663,0.0071399713
688.001,0.0081666406
688.338,0.0076816941
688.676,0.0087189391
689.014,0.0091380228
689.352,0.0084248418
689.69,0.0105516838
690.027,0.0086444095
690.365,0.0086160309
690.702,0.0089298062
691.04,0.0080357517
691.377,0.0079446745
691.715,0.0091903284
692.052,0.0079345958
692.389,0.0084201197
692.726,0.0086771473
693.064,0.0095760728
693.401,0.0093140401
693.738,0.0105749857
694.075,0.0080070405
694.412,0.0080335496
694.749,0.0104900248
695.086,0.0076623661
695.423,0.0085190059
695.759,0.0077078259
696.096,0.0094200572
696.433,0.0087860069
696.769,0.0076064459
697.106,0.0108525127
697.443,0.0087550651
697.779,0.0090328081
698.116,0.0097988389
698.452,0.0077397096
698.788,0.0100556975
699.125,0.0102175763
699.461,0.0103733443
699.797,0.0100303522
700.133,0.0105057459
700.469,0.0102216966
700.805,0.0095549441
701.141,0.0097811051
701.477,0.0099946444
701.813,0.0104693082
702.149,0.0096115116
702.485,0.0096389074
702.82,0.0087697407
703.156,0.0101517835
703.492,0.0088895802
703.827,0.0087185708
704.163,0.0112165021
704.498,0.0114545445
704.834,0.0114821214
705.169,0.0099456457
705.505,0.0097838348
705.84,0.0113392462
706.175,0.0101201238
706.51,0.0100244571
706.845,0.009523904
707.18,0.0098889283
707.515,0.0098598361
707.85,0.0090113595
708.185,0.0093721444
708.52,0.0100839272
708.855,0.012697745
709.19,0.0116426647
709.525,0.0113285368
709.859,0.0111618035
710.194,0.0105733555
710.529,0.0106778528
710.863,0.0093220816
711.198,0.0074775334
711.532,0.0081310963
711.866,0.0106106736
712.201,0.0098756293
712.535,0.0106148273
712.869,0.0117768099
713.203,0.0106108489
713.537,0.0115620129
713.872,0.0116660015
714.206,0.0131944092
714.54,0.0108025928
714.873,0.0121947855
715.207,0.0097079079
715.541,0.0107496671
715.875,0.0107103022
716.209,0.0089185021
716.542,0.0109175549
716.876,0.0132150474
717.21,0.0115631642
717.543,0.0119679838
717.877,0.0105316714
718.21,0.0104888317
718.543,0.0088773145
718.877,0.0103890847
719.21,0.0116827837
719.543,0.0115627618
719.876,0.0092654182
720.209,0.0105610824
720.542,0.0093862728
720.875,0.0115974559
721.208,0.0115492212
721.541,0.0103660023
721.874,0.0113751767
722.207,0.0097392665
722.54,0.0103808456
722.872,0.0104068444
723.205,0.011047003
723.538,0.0115468578
723.87,0.0124404203
724.203,0.0098325655
724.535,0.0098615518
724.868,0.0123812351
725.2,0.0124909898
725.532,0.0120608363
725.865,0.012329659
726.197,0.0098236956
726.529,0.0089068159
726.861,0.012104012
727.193,0.0144411968
727.525,0.0132003943
727.857,0.0117898585
728.189,0.0131009994
728.521,0.0113701298
728.853,0.0110779906
729.184,0.0133613374
729.516,0.0102320027
729.848,0.0125351272
730.179,0.0132870455
730.511,0.0125076901
730.842,0.0136788894
731.174,0.01101518
731.505,0.0128476316
731.836,0.0127049794
732.168,0.0128144489
732.499,0.0129230545
732.83,0.0111378778
733.161,0.0112537094
733.492,0.0115310567
733.823,0.0123890269
734.154,0.0114976484
734.485,0.0134503175
734.816,0.0107906851
735.147,0.0130019283
735.478,0.0110996602
735.808,0.0129930077
736.139,0.0131959259
736.47,0.011523095
736.8,0.0114665222
737.131,0.0155806238
737.461,0.011946787
737.792,0.0122285909
738.122,0.0144897491
738.452,0.0145192489
738.782,0.0121393918
739.113,0.0138980962
739.443,0.0132345118
739.773,0.0126545366
740.103,0.0137267821
740.433,0.0116583344
740.763,0.0143091037
741.093,0.0125818689
741.423,0.0133107322
741.752,0.0115746035
742.082,0.0128392576
742.412,0.012958939
742.742,0.0140463572
743.071,0.0128432412
743.401,0.0139403563
743.73,0.0104952602
744.06,0.0123973736
744.389,0.0118918147
744.718,0.0116569688
745.048,0.0145779175
745.377,0.015165361
745.706,0.0143885599
746.035,0.0126949953
746.364,0.0161961274
746.693,0.0147661315
747.022,0.0125109583
747.351,0.01620807
747.68,0.0133057543
748.009,0.012875349
748.338,0.0125341596
748.666,0.0132997043
748.995,0.0101696569
749.323,0.0152106909
749.652,0.0153335503
749.981,0.0123886468
750.309,0.0146700063
750.637,0.0142352092
750.966,0.0130445038
751.294,0.0135536482
751.622,0.0160512414
751.95,0.0134304787
752.279,0.0154637911
752.607,0.0158968965
752.935,0.0132578506
753.263,0.0149351048
753.591,0.0149724605
753.919,0.0129869866
754.246,0.0141909691
754.574,0.0163757547
754.902,0.0117521046
755.23,0.017447254
755.557,0.0167085929
755.885,0.0140123809
756.212,0.0165052697
756.54,0.0159599903
756.867,0.0156972197
757.195,0.0155381001
757.522,0.0137899595
757.849,0.016611328
758.176,0.0171572142
758.503,0.0142962261
758.831,0.0164490981
759.158,0.0172143189
759.485,0.0130077439
759.812,0.0132474039
760.138,0.0153170571
760.465,0.0143404252
760.792,0.0139687369
761.119,0.0169833411
761.446,0.0173490491
761.772,0.0180192846
762.099,0.0161037182
762.425,0.0142807921
762.752,0.0145314965
763.078,0.014577764
763.405,0.011798348
763.731,0.0162481452
764.057,0.014085527
764.383,0.0146639395
764.71,0.015555584
765.036,0.0150642865
765.362,0.0173469097
765.688,0.0168624269
766.014,0.0163813313
766.34,0.0151303607
766.665,0.0146421913
766.991,0.0178353109
767.317,0.0136565082
767.643,0.0163220066
767.968,0.0170381884
768.294,0.0178705855
768.619,0.0173906204
768.945,0.020333197
769.27,0.017306807
769.596,0.0228308757
769.921,0.0166525808
770.246,0.0177260843
770.572,0.0154197029
770.897,0.01864215
771.222,0.0176834667
771.547,0.0150182669
771.872,0.0152966805
772.197,0.0176464815
772.522,0.0131062549
772.847,0.0165075642
773.171,0.0144814027
773.496,0.0195452111
773.821,0.0205655657
774.146,0.0138368103
774.47,0.0161357497
774.795,0.0165648883
775.119,0.0207968147
775.444,0.0170575271
775.768,0.0150920366
776.092,0.0185288343
776.417,0.0194494184
776.741,0.0171008823
777.065,0.0144878521
777.389,0.0136904486
777.713,0.0194071379
778.037,0.0155365257
778.361,0.0203161415
778.685,0.0187684282
779.009,0.017099396
779.333,0.0170299691
779.657,0.0191156416
779.98,0.0190740436
780.304,0.0199210348
780.627,0.0198751659
780.951,0.0180249389
781.274,0.0175787858
781.598,0.0220278478
781.921,0.0193846568
782.245,0.0206347146
782.568,0.017705731
782.891,0.0209111313
783.214,0.0197996037
783.537,0.0194543531
783.861,0.0169872515
784.184,0.0183497636
784.506,0.0194406089
