wavelength nm,irradiance W/m^2/nm
610.733,0.0088381023
611.081,0.0089482545
611.43,0.008357249
611.779,0.0083206925
612.127,0.007699769
612.476,0.0070725432
612.825,0.0079614599
613.173,0.0072236458
613.522,0.0069714088
613.87,0.007123584
614.218,0.0064270255
614.567,0.0067990771
614.915,0.0074733888
615.263,0.0076605507
615.611,0.0064099444
615.96,0.007152833
616.308,0.0054859702
616.656,0.0065664621
617.004,0.0059387887
617.352,0.0056077355
617.7,0.0062078978
618.047,0.0059495934
618.395,0.0070369817
618.743,0.0061114468
619.091,0.0061938736
619.438,0.006498545
619.786,0.0054543415
620.134,0.0062433758
620.481,0.0066639177
620.829,0.0060342484
621.176,0.0066421452
621.523,0.0052932058
621.871,0.005639746
622.218,0.0054531339
622.565,0.0058349474
622.912,0.0074266853
623.259,0.0060704669
623.607,0.0070638838
623.954,0.0060137019
624.301,0.0065120234
624.648,0.0056445421
624.994,0.0058782635
625.341,0.0056976312
625.688,0.0062371993
626.035,0.0060227334
626.382,0.0059173056
626.728,0.0058885946
627.075,0.0057859939
627.421,0.0069919791
627.768,0.0064997556
628.114,0.0060106568
628.461,0.0062949303
628.807,0.0065792437
629.154,0.006011634
629.5,0.0071126414
629.846,0.0063843199
630.192,0.0075678268
630.538,0.0057432502
630.884,0.0059489555
631.231,0.0067475863
631.577,0.0065279134
631.922,0.0050813861
632.268,0.0073486498
632.614,0.0056937402
632.96,0.005464366
633.306,0.0060760714
633.651,0.0067292406
633.997,0.0064257949
634.343,0.0061591651
634.688,0.0058108691
635.034,0.0063029795
635.379,0.0047881579
635.725,0.0059324112
636.07,0.007000729
636.415,0.0059665898
636.761,0.0066322632
637.106,0.0063633802
637.451,0.0067925976
637.796,0.0072623804
638.141,0.0062514289
638.486,0.0057741821
638.831,0.0062059729
639.176,0.0060128547
639.521,0.0070296037
639.866,0.0065857165
640.211,0.0072676146
640.555,0.0076627524
640.9,0.0071789191
641.245,0.0055918678
641.589,0.0068757544
641.934,0.0072347837
642.278,0.0062725676
642.623,0.0078231486
642.967,0.0060065855
643.312,0.007602619
643.656,0.008057184
644,0.0060140142
644.344,0.0063743706
644.689,0.0047044996
645.033,0.0068013105
645.377,0.0058152651
645.721,0.0066136625
646.065,0.0063722999
646.409,0.0062553155
646.753,0.0060039462
647.096,0.0058448779
647.44,0.0052854495
647.784,0.0061394616
648.128,0.0062858046
648.471,0.0064321227
648.815,0.0061781534
649.158,0.0053459819
649.502,0.0082230523
649.845,0.0070288746
650.189,0.0069588491
650.532,0.0053065387
650.875,0.0069466093
651.218,0.0072327586
651.562,0.0072967501
651.905,0.0071823482
652.248,0.0066023095
652.591,0.007171326
652.934,0.0055770577
653.277,0.0068323909
653.62,0.0080490258
653.963,0.0074196692
654.305,0.0070652283
654.648,0.0071742261
654.991,0.0068201669
655.334,0.0071617687
655.676,0.0074095181
656.019,0.0084630811
656.361,0.0073050874
656.704,0.0066655335
657.046,0.006257469
657.389,0.0068840441
657.731,0.0084584399
658.073,0.0072907983
658.415,0.0058290701
658.757,0.0075509433
659.1,0.0087056628
659.442,0.0076249748
659.784,0.0067271067
660.126,0.0074571402
660.468,0.0080461526
660.809,0.0074811968
661.151,0.0079772568
661.493,0.0053390801
661.835,0.0065596214
662.177,0.0077378416
662.518,0.0070711516
662.86,0.0077194687
663.201,0.0064160833
663.543,0.0061365315
663.884,0.0075159804
664.226,0.0074786104
664.567,0.0066572731
664.908,0.0065695908
665.249,0.006927841
665.591,0.0068333888
665.932,0.0071454266
666.273,0.007313222
666.614,0.0081633853
666.955,0.0070842078
667.296,0.0060519552
667.637,0.0079085936
667.978,0.0071732922
668.318,0.0088351432
668.659,0.007900792
669,0.007963894
669.341,0.0088425162
669.681,0.0075427844
670.022,0.0072968837
670.362,0.0080217527
670.703,0.0072773191
671.043,0.008097895
671.383,0.0077558193
671.724,0.0079726575
672.064,0.0068160822
672.404,0.007341117
672.744,0.0073521058
673.085,0.0095662834
673.425,0.0085590577
673.765,0.0057973883
674.105,0.0064764024
674.444,0.007931412
674.784,0.0071199876
675.124,0.0071321182
675.464,0.0076093617
675.804,0.0086614803
676.143,0.0081541987
676.483,0.0097319667
676.823,0.0067206752
677.162,0.0083479337
677.501,0.0082572967
677.841,0.0076957961
678.18,0.0076547071
678.52,0.0071938433
678.859,0.0070496699
