wavelength nm,white irradiance W / m^2 / nm
617.352,0.0531427694
617.7,0.0546346945
618.047,0.0548805352
618.395,0.0584009814
618.743,0.0607486508
619.091,0.0619081509
619.438,0.0630829032
619.786,0.0690072432
620.134,0.0698598997
620.481,0.0721617586
620.829,0.0735352227
621.176,0.0767328375
621.523,0.0825612724
621.871,0.0834687881
622.218,0.0867020492
622.565,0.0928462057
622.912,0.0928579135
623.259,0.1000156965
623.607,0.1042201166
623.954,0.1059042051
624.301,0.1096731503
624.648,0.1123955489
624.994,0.1154706606
625.341,0.1210345439
625.688,0.121617171
626.035,0.1292027483
626.382,0.12733539
626.728,0.1323364006
627.075,0.1354992269
627.421,0.1385674678
627.768,0.1434081772
628.114,0.1445034848
628.461,0.1458703705
628.807,0.1489190868
629.154,0.1505928421
629.5,0.1494180344
629.846,0.1478188651
630.192,0.1439271215
630.538,0.1405180527
630.884,0.1361611353
631.231,0.1314112189
631.577,0.1292941304
631.922,0.1211806961
632.268,0.1170812457
632.614,0.1052703867
632.96,0.1027334395
633.306,0.0945277156
633.651,0.0909654931
633.997,0.0841074965
634.343,0.0784785949
634.688,0.0725412466
635.034,0.0675846849
635.379,0.0626218653
635.725,0.057834408
636.07,0.0545234036
636.415,0.0516160673
636.761,0.0490795689
637.106,0.0444640944
637.451,0.0423421222
637.796,0.0391620219
638.141,0.0367946467
638.486,0.0362867427
638.831,0.0339881373
639.176,0.0319485148
639.521,0.0299504721
639.866,0.0290979121
640.211,0.027811746
640.555,0.0248163365
640.9,0.0250946031
641.245,0.0230815942
641.589,0.0239490541
641.934,0.0222369964
642.278,0.0218160115
642.623,0.0200422484
642.967,0.0191968097
643.312,0.0174390506
643.656,0.0168526115
644,0.0170758022
644.344,0.0169884056
644.689,0.0163033019
645.033,0.0156082344
645.377,0.0139452746
645.721,0.0148493287
646.065,0.0142841697
646.409,0.0135275329
646.753,0.0128070731
647.096,0.0127115752
647.44,0.0122141021
647.784,0.0104271639
648.128,0.0100499918
648.471,0.012250007
648.815,0.0108940049
649.158,0.0099406239
649.502,0.0100059344
649.845,0.0104760534
650.189,0.0107756998
650.532,0.0096741276
650.875,0.0089277893
651.218,0.0111208615
651.562,0.0088326383
651.905,0.0082674842
652.248,0.0067308722
652.591,0.008078533
652.934,0.0092825341
653.277,0.0095360841
653.62,0.0080402978
653.963,0.0079191649
654.305,0.0092786256
654.648,0.0095317389
654.991,0.0081602508
